y_true,y_prob
1,0.627262206632618
0,0.5473023469404849
0,0.5316444608144756
0,0.431559608069709
0,0.48158568719129924
0,0.4519622406223372
1,0.48796812675244045
1,0.36385917663050615
0,0.5098002934433596
1,0.4527591395611586
0,0.43859493220725637
1,0.49088393324915347
1,0.8089324097878458
0,0.42122495829530665
1,0.4307145457395488
1,0.4398281248203303
1,0.47800939112132884
1,0.5409179830741189
1,0.5269673538829879
0,0.4717651693426092
1,0.5030923790783912
0,0.5061525994684426
1,0.4666798495593204
1,0.5775825505032168
1,0.46386305498496694
1,0.5302309191655147
0,0.5020460765001928
1,0.4995849600362822
1,0.54162167810745
1,0.5449660825498087
1,0.5921277434380999
1,0.585151275200281
0,0.4729490865266409
1,0.47073035018355774
0,0.5276899072303579
1,0.4249333246803967
0,0.4849172750135282
1,0.4656531673616643
0,0.35704248289979756
0,0.3834788168049345
1,0.5705648995151769
0,0.471622917417337
1,0.5158577735600662
1,0.4613779963581816
1,0.4590313749083406
1,0.5644402055734404
0,0.4179999792504929
0,0.5375340054440831
0,0.45646486337786074
0,0.4215583901835462
0,0.531959333110692
1,0.4756683579389107
0,0.44901170162737186
0,0.43401836322349
0,0.45778179156594184
1,0.5756647185822875
1,0.5827997726721075
1,0.4417312554924248
1,0.5026086091659769
1,0.5087697155951402
1,0.5384803052524597
1,0.6748730721504355
1,0.4070813617608072
0,0.5415635463461029
1,0.5976546335753455
1,0.5899165941643981
0,0.4051431921035913
0,0.4750033297903209
1,0.5038386920135476
1,0.5093354810534515
1,0.5624657608827477
1,0.5908546893544898
0,0.40779730035313405
1,0.593984727029186
1,0.5513121412634925
1,0.4405836441870868
1,0.6876195215280718
1,0.4918900827652423
0,0.4821748195538049
0,0.5602043726699264
0,0.46123121290796604
1,0.4614558198810232
0,0.5987166608635868
1,0.481931857343783
0,0.4669665065147736
1,0.43910230198939343
1,0.4520109296656489
1,0.4529770141174169
1,0.45252568620313904
0,0.41601994051011937
0,0.39126150584827485
1,0.5714143018535818
1,0.4096493262596749
1,0.4198206538231005
0,0.4573861976821238
0,0.4081821946475036
0,0.44955765981582513
1,0.4816518996616075
1,0.522093859756068
1,0.6031506257249039
1,0.5515186491887908
0,0.45132435714994107
0,0.4666012256650768
0,0.5050496971902377
0,0.437019320163801
0,0.5703045340877462
1,0.4355411478053331
0,0.4212249893840707
1,0.49684261492026943
0,0.5105548531344726
0,0.5003680545975526
1,0.48142843660867457
1,0.5331083839961017
1,0.5410546990831147
1,0.5602797997733062
1,0.41900038682317975
1,0.5477082185403156
1,0.5605823315176287
1,0.5261259608992487
1,0.6170860715458604
0,0.4800668076604062
1,0.4661337170100815
1,0.5077846555006944
1,0.5741580880433791
1,0.7171293337372978
1,0.5379548434724474
0,0.49905125478082063
1,0.5063216419911936
1,0.516305810284881
1,0.4357944976399673
1,0.5263126154635429
1,0.5800238189115704
0,0.45587746065107654
1,0.4229769650693248
0,0.5062062392324213
1,0.5900798645306902
1,0.5049618471430662
1,0.5239197968174704
0,0.4693150574397904
0,0.5068945554857395
0,0.43794731862736297
1,0.53887890844091
1,0.48881654887232073
1,0.6142614898996124
0,0.42874064639462117
0,0.6140368473671366
1,0.5283008744806217
1,0.5450332439308209
0,0.45946343757581065
1,0.4441925369466641
0,0.4386170628124603
0,0.4396582512606332
0,0.5518521350224629
1,0.4716376253933031
1,0.45084516279807235
0,0.3963997415756548
1,0.55287065708233
0,0.4945953197064227
0,0.42586695768151345
1,0.5708391917372372
1,0.5444617110319908
1,0.4505905616384103
0,0.39346643288456584
1,0.5558092176624834
1,0.5092992470877046
1,0.4044061781531548
1,0.41714204977960523
1,0.4473488186093688
0,0.598864022787201
0,0.4644827255766073
1,0.5308055132425697
0,0.4381523197319938
0,0.5178492271946208
0,0.49842408413738404
0,0.48178606732770635
1,0.46936374682972315
1,0.7235664003563879
0,0.5310777080299307
1,0.41972575830513226
1,0.4949295742352798
1,0.580142432886553
1,0.5602934399738616
0,0.6847605126366454
0,0.4677998729076347
1,0.5192760410397061
1,0.5616638595942569
1,0.5375846168290919
1,0.5576765322933358
0,0.4877311504598865
0,0.4300695102236926
1,0.5645987744642088
1,0.5265445743571233
1,0.38634073313640305
1,0.5379716915168844
1,0.5456370999169942
1,0.674079502856748
1,0.47243373917469955
1,0.5233796856279463
1,0.38783949075698926
0,0.5024800366521889
0,0.48916389682247907
1,0.400945080747436
1,0.5898453387585598
1,0.46564093068739065
1,0.5546793357263309
0,0.49287388276317223
0,0.46643765098461
1,0.4599759783839778
0,0.47895895173166503
1,0.5901386978002834
1,0.44078248096223377
1,0.5248642997764495
1,0.5075125259488824
1,0.4209751949457942
1,0.4453955890961738
0,0.4878739148528232
1,0.4778299566020824
1,0.4903322617837009
0,0.41891429665111923
0,0.44928673691950244
1,0.4482906633644298
1,0.46472390753707044
0,0.49917174074482223
1,0.5059672624768823
1,0.41255963088555553
0,0.5237171537213519
1,0.4948101404660346
0,0.45143015808614845
1,0.48000354761198916
1,0.539864022248559
1,0.4785819831014712
0,0.41606860448743266
1,0.5005520143108756
0,0.5100771292642604
1,0.6491112563694629
0,0.5162737008783814
0,0.5432152644125461
0,0.43681251291233997
1,0.547246572583127
0,0.4452492883602174
1,0.4409940995944857
0,0.4214486472583752
1,0.39882444823230045
0,0.695405454014089
1,0.5662000764123686
0,0.4561983660549813
0,0.5850916356397238
1,0.5072287084192607
1,0.5105597225835306
0,0.4928246015119144
0,0.6856829416755987
1,0.4984860725562521
1,0.4724361560876961
0,0.5984697854344302
0,0.4233911667324668
1,0.5551430269880872
0,0.4393740997313119
1,0.3909192341673589
0,0.44798833014406736
1,0.5640452003514986
0,0.32938398703500127
1,0.44085821684064724
1,0.5091125040752708
0,0.4748854721292014
0,0.4412142551961482
0,0.4656562705052926
0,0.48169580559009745
0,0.5482615604797878
1,0.42618312736544745
0,0.4841090173500078
1,0.6184891219258313
1,0.44630528313785617
0,0.4901928137190585
0,0.47406595929947865
1,0.510515179384332
0,0.5143526563391734
0,0.34891949949834133
1,0.567426522610472
0,0.5532277517982127
1,0.6109390500710489
0,0.5208530021455571
0,0.48186074756040137
1,0.5304967222975895
1,0.5696689710214246
1,0.5481818338171949
1,0.5162081940660121
0,0.48619869781868097
0,0.5812732107415847
1,0.48794560941971155
0,0.4575196065147238
1,0.5443566152827864
0,0.4469927702422327
0,0.6088609494185143
0,0.6897048804707864
0,0.5015008018072447
0,0.6468919252407255
1,0.5384623339818335
1,0.4986083322632595
0,0.5220273290949173
1,0.42138380531972747
0,0.43730103465878384
0,0.4405485047853809
1,0.5732199832927495
1,0.48264761323979555
1,0.4591316150303855
0,0.4773628425952515
0,0.6084510854222467
1,0.570827298966954
0,0.4980180615648429
1,0.48600862605407524
1,0.5008852651417908
0,0.39308806877156055
0,0.5032355852207062
1,0.5230579458430037
0,0.5839935735354194
1,0.6650901500443339
0,0.5671633333636995
0,0.4886366579998613
0,0.4958928629842121
0,0.5025745368404758
0,0.3546700549027763
1,0.47325015528761605
0,0.48589701054679335
0,0.46659339646835546
0,0.5242865536678588
0,0.5200488096115338
0,0.4403946189791708
1,0.5920796341330352
1,0.5702367616689895
0,0.5653607540681209
0,0.5899856083474595
0,0.47926375673181215
1,0.40515380002388196
1,0.48701670698287386
0,0.5142598160889431
0,0.48158448525005426
1,0.455322442616081
1,0.6098784373037383
1,0.4329668567901027
1,0.5001889639985644
0,0.4269417120864842
0,0.5753108232408677
0,0.5382626657935222
0,0.4802714882889586
1,0.5262315058163398
0,0.605330147264108
0,0.47226501654461056
0,0.4737683849714154
0,0.43102045313196635
1,0.5310247815224145
1,0.38559366057053795
0,0.44348823244421093
1,0.6362965563782026
0,0.5629290960743271
0,0.6090449195556272
1,0.4962638867128963
0,0.5302823346505476
1,0.5391107935289644
1,0.4568281932882003
0,0.47787195967459384
0,0.5249867470473558
0,0.5267695053289616
0,0.4894213794902287
0,0.5036234676571891
1,0.5187024150149206
1,0.3630361477139417
0,0.5281830284434827
0,0.4098810196327912
1,0.6170490030226649
1,0.4463796571993157
1,0.587943284334092
1,0.4828710787316387
1,0.5396586423547184
1,0.5009581711672145
0,0.5128274733468106
1,0.3607513598755136
1,0.6085415392992766
0,0.48530946202552855
1,0.4938184254175506
0,0.357295379461988
1,0.4476006588696906
1,0.6770330153214041
1,0.5630640025049414
1,0.5024553399490195
0,0.4330301084847846
1,0.4929291394045443
