y_true,y_prob
0,0.5340482560135453
1,0.46658962707719287
0,0.4702687884024604
0,0.5044501204761359
1,0.4584785629178008
0,0.5196559871875511
0,0.46336831402124506
0,0.45393229497526627
0,0.5389221802543996
0,0.5349778825486489
1,0.4822539394791906
1,0.4872287674118952
0,0.513261352115931
1,0.5236388041289348
1,0.5155174509500393
1,0.5520546087870861
1,0.5219013801813068
1,0.49658567411415255
1,0.46758847723235314
0,0.45557478725496137
1,0.45638770182237126
0,0.45277904484387355
1,0.5807429301214746
0,0.4532618677634656
1,0.4822036669376346
1,0.4597169686025497
1,0.4635558201561733
1,0.5574108220734315
0,0.5780863204178125
1,0.5277064761176181
0,0.5499377533022378
0,0.534744221550505
0,0.45306362883296164
1,0.4897910939852279
1,0.5618969151707744
0,0.4621823964589919
1,0.5200579873617506
1,0.5292272070438322
0,0.4587625583202142
0,0.4960073522495269
0,0.4533040865851377
1,0.4629446167882934
1,0.5499778172843552
0,0.5243583407847008
1,0.45278119028980296
0,0.46166532025062024
1,0.49507489786201847
1,0.5198016581602256
0,0.4743069384228889
1,0.4573332125934744
0,0.5939430241314813
1,0.48110987258250704
1,0.5063006776627165
0,0.4560041069572489
1,0.45747485562144286
0,0.49986528903128097
0,0.5412324697723857
0,0.5430791396366246
0,0.5006794856916428
1,0.5273807043286474
1,0.4705310918589789
0,0.4678322962638213
0,0.45679445208181296
1,0.5433030591106089
1,0.5176134949769421
0,0.4592957656088561
0,0.5060458468466205
1,0.487247620717228
0,0.471452127118561
0,0.4518856393518406
0,0.5308339675605771
1,0.5518458614297513
1,0.5971198516100608
0,0.4677278740238059
1,0.5126783199107867
1,0.4916017289397463
1,0.5137323526643663
0,0.496535070405885
0,0.44711086479790235
1,0.5425347569777583
1,0.5205198389397836
1,0.5154523385834895
0,0.45653537541702793
0,0.45197057834331844
1,0.4824026743046553
1,0.4696745263118699
1,0.5057600734345994
0,0.5232844804897365
1,0.4587361570396398
0,0.4931362490226193
0,0.5327384609508938
1,0.5137484525419083
1,0.5111663067163893
1,0.5150636166779207
0,0.45238543072177084
