y_true,y_prob,prediction
0,0.691050862042977,需人工確認
1,0.5229916636288624,需人工確認
0,0.4022912302995845,需人工確認
0,0.436685421862056,需人工確認
1,0.4579360548884194,需人工確認
0,0.5537206748892748,需人工確認
0,0.49250472749179386,需人工確認
0,0.3975006242571958,需人工確認
0,0.5579736840009638,需人工確認
0,0.5813248927624322,需人工確認
1,0.4672820880760652,需人工確認
1,0.46017735186088615,需人工確認
0,0.5075009213398791,需人工確認
1,0.5297799101120153,需人工確認
1,0.49528849004573133,需人工確認
1,0.6534724256144335,需人工確認
1,0.5240698739318806,需人工確認
1,0.514100583577209,需人工確認
1,0.48023348896774803,需人工確認
0,0.44772813454919,需人工確認
1,0.48580107348758855,需人工確認
0,0.4274867061124331,需人工確認
1,0.5829076917275927,需人工確認
0,0.4241065437535311,需人工確認
1,0.4775529702370995,需人工確認
1,0.47123918858327485,需人工確認
1,0.4828618188278064,需人工確認
1,0.5767646291371292,需人工確認
0,0.5950731323644554,需人工確認
1,0.4957004167918197,需人工確認
0,0.5513398097110587,需人工確認
0,0.5653690784437717,需人工確認
0,0.4448944032777885,需人工確認
1,0.569720336495781,需人工確認
1,0.5816199741433246,需人工確認
0,0.48851482014289965,需人工確認
1,0.5192257517159959,需人工確認
1,0.5918168055875295,需人工確認
0,0.4457613678204534,需人工確認
0,0.4976430894136173,需人工確認
0,0.43550248616340814,需人工確認
1,0.4834572655714704,需人工確認
1,0.5863399467864808,需人工確認
0,0.5639988941584753,需人工確認
1,0.3940202668629374,需人工確認
0,0.4707683175097718,需人工確認
1,0.4983457543634232,需人工確認
1,0.5391769773587015,需人工確認
0,0.444282122522695,需人工確認
1,0.42521751213256875,需人工確認
0,0.6148399246715486,需人工確認
1,0.49178421274940415,需人工確認
1,0.4948988701688774,需人工確認
0,0.46132557477503766,需人工確認
1,0.4313657511963976,需人工確認
0,0.5088214146574904,需人工確認
0,0.5889434010318352,需人工確認
0,0.5742372915614014,需人工確認
0,0.4774916609349175,需人工確認
1,0.5765213168143574,需人工確認
1,0.5337330954914886,需人工確認
0,0.46513910407893017,需人工確認
0,0.4756056742370211,需人工確認
1,0.5663422727193828,需人工確認
1,0.5679200581113711,需人工確認
0,0.40178149051887735,需人工確認
0,0.5187695492533583,需人工確認
1,0.5322967738558033,需人工確認
0,0.47131006594282,需人工確認
0,0.44263795574546366,需人工確認
0,0.5278812317298199,需人工確認
1,0.5833383149140762,需人工確認
1,0.6157474899238189,需人工確認
0,0.44587476205456894,需人工確認
1,0.5260571746848046,需人工確認
1,0.45750181284349417,需人工確認
1,0.5028907044220702,需人工確認
0,0.4763848390169649,需人工確認
0,0.40763617861271456,需人工確認
1,0.6126547500638905,需人工確認
1,0.5114743907604901,需人工確認
1,0.5186818987690016,需人工確認
0,0.46520548116929417,需人工確認
0,0.44294871836798877,需人工確認
1,0.4873353125867971,需人工確認
1,0.44054839415155217,需人工確認
1,0.5380514612195614,需人工確認
0,0.5473514266235427,需人工確認
1,0.4604048580801564,需人工確認
0,0.4672771932419454,需人工確認
0,0.5586322875683842,需人工確認
1,0.5255991700389655,需人工確認
1,0.5145384838176073,需人工確認
1,0.563767549939721,需人工確認
0,0.4533258770433783,需人工確認
1,0.5816076035233272,需人工確認
1,0.44181944225704217,需人工確認
0,0.4584134290568063,需人工確認
1,0.37398885621840283,需人工確認
0,0.564465834761413,需人工確認
0,0.4562756336026277,需人工確認
1,0.653718730199509,需人工確認
0,0.5280547513997875,需人工確認
1,0.5151017589453616,需人工確認
1,0.41969508951320034,需人工確認
1,0.4217266095849734,需人工確認
1,0.5293417974884091,需人工確認
0,0.4740036743735656,需人工確認
1,0.5104396897680329,需人工確認
1,0.5864603762766041,需人工確認
1,0.4285013212563684,需人工確認
0,0.45871592522117566,需人工確認
0,0.5121853164024702,需人工確認
0,0.5296134552913718,需人工確認
0,0.47255246812062784,需人工確認
0,0.41402783596857434,需人工確認
0,0.4597881160531248,需人工確認
0,0.5757953191013897,需人工確認
0,0.5063515491281603,需人工確認
0,0.5089232029695929,需人工確認
1,0.5688981611820736,需人工確認
1,0.38106304615951203,需人工確認
0,0.4578745344272226,需人工確認
0,0.5146723930550399,需人工確認
1,0.392547490002378,需人工確認
1,0.5279216711937104,需人工確認
1,0.44005646311102764,需人工確認
1,0.5474492199927663,需人工確認
0,0.42117219233002334,需人工確認
0,0.5176551842281915,需人工確認
1,0.6336548736550075,需人工確認
0,0.6548135426170983,需人工確認
0,0.4245344249033722,需人工確認
0,0.5495156562407245,需人工確認
0,0.4417350103048044,需人工確認
1,0.5490188751646895,需人工確認
0,0.4974378307151526,需人工確認
1,0.5409758577863922,需人工確認
1,0.4748603421417113,需人工確認
1,0.4683118947930241,需人工確認
1,0.5555500014849671,需人工確認
1,0.47324009224324426,需人工確認
1,0.5853637196701187,需人工確認
1,0.5140665706883338,需人工確認
1,0.46673184406217827,需人工確認
1,0.5217695816884513,需人工確認
1,0.46905497579107663,需人工確認
0,0.4574990250284569,需人工確認
1,0.6025855757033866,需人工確認
0,0.4769552541115215,需人工確認
0,0.5604971787982669,需人工確認
0,0.48716403656159196,需人工確認
1,0.5250420134845143,需人工確認
0,0.45162660310294134,需人工確認
1,0.43458220779497675,需人工確認
0,0.537116586714505,需人工確認
0,0.4893478209503322,需人工確認
0,0.518043374101058,需人工確認
0,0.5210317304444202,需人工確認
1,0.5724590094073366,需人工確認
1,0.5193794583780162,需人工確認
0,0.5637743790475415,需人工確認
0,0.562764433284169,需人工確認
0,0.5839559722252493,需人工確認
1,0.4993380209674175,需人工確認
1,0.5900574731244234,需人工確認
0,0.43400043259911814,需人工確認
0,0.3541981571366975,需人工確認
1,0.4771568024342571,需人工確認
0,0.47989606284276903,需人工確認
1,0.6176508175881982,需人工確認
1,0.4172591842018771,需人工確認
1,0.4748679807501995,需人工確認
1,0.6039739314419146,需人工確認
0,0.4314740817809018,需人工確認
1,0.4897618857946459,需人工確認
1,0.3722368803885094,需人工確認
0,0.44052135646669893,需人工確認
0,0.429161695509936,需人工確認
1,0.5357050364357022,需人工確認
0,0.43591691438551405,需人工確認
1,0.6197284691428634,需人工確認
1,0.4733568445866981,需人工確認
1,0.47162842332231303,需人工確認
1,0.5693002789333959,需人工確認
0,0.523588062863063,需人工確認
0,0.4809826071312879,需人工確認
0,0.5347060388582558,需人工確認
0,0.4962184980040264,需人工確認
1,0.4965909513551555,需人工確認
1,0.4004135173628132,需人工確認
1,0.5043916913773528,需人工確認
1,0.3369523182952326,需人工確認
1,0.5201449407774555,需人工確認
